ID,Media,FamSize,Hilary,Trump,Age,Partner,Education,SpouseEdu,Employment,Birthplace,GBirth,Dependent,Housing,Income,Education2,PartyID,Marital
404337,5,0,3,7,67,2,10,-1,4,1,1,0,1,3,3,2,3
404338,5,1,5,1,23,2,11,-1,4,1,1,0,3,11,4,1,5
404339,2,1,1,1,35,2,10,-1,1,1,1,0,1,3,3,3,5
404343,6,2,5,7,45,-1,10,13,4,1,3,1,1,17,3,4,1
404348,3,1,4,5,74,-1,10,9,5,1,3,0,3,12,3,3,1
404351,7,0,2,5,39,2,14,-1,1,1,1,0,3,3,6,3,5
404353,7,1,3,6,37,2,9,-1,1,1,1,0,4,13,2,4,5
404354,3,3,3,7,32,1,10,14,1,1,1,1,4,15,3,1,5
404358,6,1,2,7,58,-1,14,10,1,1,1,0,2,26,6,1,1
404359,5,2,1,1,28,1,10,10,1,4,3,0,1,1,3,4,5
404360,2,0,2,6,31,2,14,-1,1,1,3,0,2,20,6,1,5
404362,6,0,2,6,39,2,13,-1,1,4,0,0,2,15,5,2,5
404364,3,0,1,4,21,1,11,12,1,1,1,0,1,7,4,3,5
404365,3,1,3,5,22,-1,10,10,1,1,0,0,1,11,3,2,1
404369,6,3,6,2,18,2,9,-1,8,1,1,1,2,21,2,1,5
404373,3,7,1,5,45,2,16,-1,1,1,0,6,3,15,6,2,4
404376,7,1,2,6,-9,-1,9,13,5,1,3,0,2,20,2,1,1
404378,6,1,3,6,-9,-1,8,12,5,1,1,0,3,23,1,3,1
404379,7,1,5,2,56,-1,10,9,6,4,0,0,2,12,3,2,1
404382,7,1,6,7,40,-1,10,13,2,1,1,0,1,23,3,3,1
404383,4,1,3,7,42,2,13,-1,1,1,1,1,1,7,5,3,3
404386,7,0,3,5,67,2,11,-1,5,4,1,0,1,1,4,3,3
404387,7,0,4,7,63,2,13,-1,5,4,0,0,3,3,5,3,3
404397,1,0,2,7,29,2,13,-1,1,1,1,0,1,11,5,1,5
404399,4,0,4,5,55,2,13,-1,4,1,1,0,2,26,5,3,3
404402,7,1,1,4,73,-1,14,12,5,1,1,0,3,25,6,2,1
404411,7,2,1,6,43,-1,13,13,1,1,4,1,2,26,5,2,1
404413,7,2,1,4,55,-1,9,9,2,1,1,0,3,15,2,3,1
404414,1,2,5,6,25,2,9,-1,7,1,1,1,4,1,2,3,5
404423,7,1,6,7,45,2,13,-1,1,1,1,0,4,11,5,3,5
404424,7,0,2,6,90,2,14,-1,5,1,3,0,3,13,6,1,2
404425,7,2,2,6,48,-1,14,14,1,4,0,1,2,17,6,3,1
404426,7,1,2,6,49,1,13,13,1,1,1,0,2,27,5,1,5
404430,7,0,5,7,89,2,9,-1,5,1,1,0,3,5,2,1,2
404431,7,1,1,7,59,-1,10,11,1,1,1,0,2,21,3,2,1
404437,1,0,2,6,23,2,10,-1,8,1,0,0,1,1,3,2,5
404438,5,4,5,4,28,1,9,10,1,1,1,3,1,22,2,2,5
404441,7,1,2,6,88,-1,8,6,5,1,1,0,3,12,1,2,1
404442,7,4,2,6,42,-1,15,95,1,1,1,2,2,23,6,2,1
404445,6,2,3,4,61,-1,9,6,6,1,1,0,3,3,2,3,1
404448,7,0,1,7,31,1,10,10,1,1,1,0,1,9,3,1,5
404449,7,3,1,4,22,-1,8,10,7,1,1,1,3,3,1,2,1
404451,7,1,4,7,27,1,13,14,1,1,1,0,2,25,5,1,5
